report_id,coords,lat,lon,pre-text,post-text,report_date,file_path
110716AT001,"39.291796, -76.648672",39.291796,-76.648672,"On 11/07/2016 at approximately 2:31 PM, officers responded to 285 N Payson St Baltimore Md 21223 "," for a report of a serious assault. Upon arrival, officers were met by neighbors who informed officers that 21-year-old Heidi Wheeler suffering serious injuries during an altercation.  Wheeler was then taken to a local hospital. Officers thoroughly canvas",07-11-2016,Worldline Data\crime_reports\110716AT001.docx
110716AT010,"39.287518, -76.643107",39.287518,-76.643107,The Baltimore Police Department is announcing the arrest of a suspect involved with a non-fatal shooting of two individuals outside 1654 Hollins St Baltimore Md 21223 , on 11/07/2016 at approximately 12:00 PM. 73 year-old Ellen Marina Sheffield was arrested soon after the shooting when officers found the suspect nearby. The 36 year-old victim in the incident has been released from the hospital but is expected to have ad,07-11-2016,Worldline Data\crime_reports\110716AT010.docx
110716DN011,"39.283933, -76.651033",39.283933,-76.651033,The Baltimore Police Department responded to reports of trespassing and drunk in public on 11/07/2016 8:14 PM at Pattys Bar at 2185 Mchenry St Baltimore Md 21223 ,". Employees reported that a customer was belligerent and appeared to be intoxicated.  The customer was described as Black, female, with black and brown.  Employees stated the individual had been harassing and threatening customers and employees, refusing ",07-11-2016,Worldline Data\crime_reports\110716DN011.docx
110716DN014,"39.288788, -76.64652",39.288788,-76.64652,The Baltimore Police Department is seeking the identity of a person wanted for a graffiti of private property in Baltimore. A city resident reported that the sidewalk in front of their residence at 1865 W Fairmount Ave Baltimore Md 21223 , was spray painted with names and vulgarities on 11/07/2016 likely within thirty minutes of 5:15 AM. Anyone with information on this incident is urged to call the Criminal Investigations Section of the Baltimore Police Department at 410-838-4444 or the Cr,07-11-2016,Worldline Data\crime_reports\110716DN014.docx
110716DN059,"39.28808, -76.652325",39.28808,-76.652325,"Baltimore police are seeking information in connection with an incident of egging.  A citizen found his residence, 2258 W Baltimore St Baltimore Md 21223 ",", had been egged by an unknown suspect(s) on 11/07/2016 around 3:25 PM.  This incident may be related to other similar incidents. If you have any additional information about these cases, please contact the Criminal Investigations Section of the Baltimore",07-11-2016,Worldline Data\crime_reports\110716DN059.docx
110716DN071,"39.28207, -76.668267",39.28207,-76.668267,", for DUI. An officer responding to reports of a traffic crash determined that the driver of one of the vehicles was intoxicated.  Karen Mikkelson was charged with Driving Under the Influence on 11/07/2016 at 4:03 AM at 3110 Piquett Ln Baltimore Md 21229 ",. The Baltimore Police Department reminds the public to drive responsibly and never under the influence.  BPD asks all citizens to report suspected drunk driving.,07-11-2016,Worldline Data\crime_reports\110716DN071.docx
110716NA003,"39.285406, -76.680225",39.285406,-76.680225,Baltimore Police officers were patrolling around 130 S Monastery Ave Baltimore Md 21229 ," on 11/07/2016 when they observed two individuals conducting a suspected drug deal at 6:54 AM.  When the officers contacted the pair they ran.  One officer ran down Felix Grime, the purchaser, as the other chased down and subdued Hazel Georgia Taylor, the",07-11-2016,Worldline Data\crime_reports\110716NA003.docx
110716NA023,"39.285224, -76.676606",39.285224,-76.676606,"On 11/07/2016, bicycle officers were on patrol when they were flagged by a citizen at 4:44 AM outside of West Balt Middle Cafeteria at 111 S Kossuth St Baltimore Md 21229 ",".  An employee complained of patrons being disrespectful and ""stinking of weed"".  During questioning one individual admitted to possession of marijuana, which officer found to be under the 10 gram civil offence limit. Officers cited 18-year-old Christine ",07-11-2016,Worldline Data\crime_reports\110716NA023.docx
110716NA039,"39.285332, -76.646281",39.285332,-76.646281,"On 11/07/2016, bicycle officers on patrol when they flagged by a citizen around 9:16 AM by Martinis Crab House at 1836 W Pratt St Baltimore Md 21223 Usa ",".  An employee complained of a group loitering around the entrance being unruly, who smelled of marijuana.  During questioning on individual admitting to having marijuana, which Officers found to be half a marijuana cigarette, well under the 10 gram civil",07-11-2016,Worldline Data\crime_reports\110716NA039.docx
110716NA049,"39.268469, -76.649393",39.268469,-76.649393,Baltimore police officers were patrolling around 1904 Somerworth St Baltimore Md 21230 ," on 11/07/2016 when they observed a pair of suspects conducting a hand to hand drug deal at approximately 7:26 AM.  When the officers contacted the individuals the buyer, 43-year-old Robert Gary Torres, surrendered and the dealer, 23-year-old Timothy Bria",07-11-2016,Worldline Data\crime_reports\110716NA049.docx
